Type,Manufacturer,Product Name,Loft,Club No,Rule Pre-2010,Rule Post-2010,Image Link
Wedge,,Kawachi Premier Pro,52,,Yes,Yes,https://www.usga.org/equipment/images/conf_clubs/R2010-0717.jpg
Wedge,,Kawachi Premier Pro,56,,Yes,Yes,https://www.usga.org/equipment/images/conf_clubs/R2010-0717.jpg
Wedge,,Kawachi Premiere R2,56,,Yes,Yes,https://www.usga.org/equipment/images/conf_clubs/R2010-0715.jpg
Wedge,,Kawachi Premiere R2,52,,Yes,Yes,https://www.usga.org/equipment/images/conf_clubs/R2010-0715.jpg
Wedge,,Kawachi Sniper Pro,52,,Yes,Yes,https://www.usga.org/equipment/images/conf_clubs/R2010-0711.jpg
Wedge,,Kawachi Sniper Pro,56,,Yes,Yes,https://www.usga.org/equipment/images/conf_clubs/R2010-0711.jpg
Wedge,,Kawachi Sniper XR,56,,Yes,Yes,https://www.usga.org/equipment/images/conf_clubs/R2010-0713.jpg
Wedge,,Kawachi Sniper XR,52,,Yes,Yes,https://www.usga.org/equipment/images/conf_clubs/R2010-0713.jpg
Wedge,1879 Co. Ltd.,1879Orac,52,,Yes,Yes,https://www.usga.org/equipment/images/conf_clubs/R2023-0125.jpg
Wedge,1879 Co. Ltd.,1879Orac,56,,Yes,Yes,https://www.usga.org/equipment/images/conf_clubs/R2023-0125.jpg
Wedge,A Design Golf Inc,A GRIND AMC,48,,Yes,Yes,https://www.usga.org/equipment/images/conf_clubs/R2023-0271.jpg
Wedge,A Design Golf Inc,A GRIND AMC,56,,Yes,Yes,https://www.usga.org/equipment/images/conf_clubs/R2023-0271.jpg
Wedge,A Design Golf Inc,A GRIND AMC,52,,Yes,Yes,https://www.usga.org/equipment/images/conf_clubs/R2023-0271.jpg
Wedge,A Design Golf Inc,A GRIND AMC,50,,Yes,Yes,https://www.usga.org/equipment/images/conf_clubs/R2023-0271.jpg
Wedge,A Design Golf Inc,A GRIND AMC,58,,Yes,Yes,https://www.usga.org/equipment/images/conf_clubs/R2023-0271.jpg
Wedge,A Design Golf Inc,A Grind BX-W,52,,Yes,Yes,https://www.usga.org/equipment/images/conf_clubs/R2018-0390.jpg
Wedge,A Design Golf Inc,A Grind BX-W,50,,Yes,Yes,https://www.usga.org/equipment/images/conf_clubs/R2018-0390.jpg
Wedge,A Design Golf Inc,A Grind BX-W,56,,Yes,Yes,https://www.usga.org/equipment/images/conf_clubs/R2018-0390.jpg
Wedge,A Design Golf Inc,A Grind BX-W,58,,Yes,Yes,https://www.usga.org/equipment/images/conf_clubs/R2018-0390.jpg
Wedge,A Design Golf Inc,A Grind BX-W (Non-Plated),54,,Yes,Yes,https://www.usga.org/equipment/images/conf_clubs/R2019-0229.jpg
Wedge,A Design Golf Inc,A Grind BX-W (Non-Plated),60,,Yes,Yes,https://www.usga.org/equipment/images/conf_clubs/R2019-0229.jpg
Wedge,A Design Golf Inc,A Grind BX-W (Non-Plated),48,,Yes,Yes,https://www.usga.org/equipment/images/conf_clubs/R2019-0229.jpg
Wedge,A Design Golf Inc,A Grind BX-W (Plated),50,,Yes,Yes,https://www.usga.org/equipment/images/conf_clubs/R2018-0389.jpg
Wedge,A Design Golf Inc,A Grind BX-W (Plated),60,,Yes,Yes,https://www.usga.org/equipment/images/conf_clubs/R2019-0230.jpg
